time_iso8601,forks_cumulative
2023-06-12 00:00:00+00:00,25329
2023-06-13 00:00:00+00:00,25417
2023-06-14 00:00:00+00:00,25473
2023-06-15 00:00:00+00:00,25530
2023-06-16 00:00:00+00:00,25571
2023-06-17 00:00:00+00:00,25610
2023-06-18 00:00:00+00:00,25653
2023-06-19 00:00:00+00:00,25710
2023-06-20 00:00:00+00:00,25764
2023-06-21 00:00:00+00:00,25827
2023-06-22 00:00:00+00:00,25864
2023-06-23 00:00:00+00:00,25899
2023-06-24 00:00:00+00:00,25938
2023-06-25 00:00:00+00:00,25997
2023-06-26 00:00:00+00:00,26058
2023-06-27 00:00:00+00:00,26099
2023-06-28 00:00:00+00:00,26157
2023-06-29 00:00:00+00:00,26188
2023-06-30 00:00:00+00:00,26225
2023-07-01 00:00:00+00:00,26259
2023-07-02 00:00:00+00:00,26300
2023-07-03 00:00:00+00:00,26352
2023-07-04 00:00:00+00:00,26390
2023-07-05 00:00:00+00:00,26438
2023-07-06 00:00:00+00:00,26495
2023-07-07 00:00:00+00:00,26537
2023-07-08 00:00:00+00:00,26564
2023-07-09 00:00:00+00:00,26606
2023-07-10 00:00:00+00:00,26653
2023-07-11 00:00:00+00:00,26691
2023-07-12 00:00:00+00:00,26727
2023-07-13 00:00:00+00:00,26759
2023-07-14 00:00:00+00:00,26792
2023-07-15 00:00:00+00:00,26819
2023-07-16 00:00:00+00:00,26853
2023-07-17 00:00:00+00:00,26888
2023-07-18 00:00:00+00:00,26928
2023-07-19 00:00:00+00:00,26965
2023-07-20 00:00:00+00:00,26993
2023-07-21 00:00:00+00:00,27030
2023-07-22 00:00:00+00:00,27043
2023-07-23 00:00:00+00:00,27062
2023-07-24 00:00:00+00:00,27090
2023-07-25 00:00:00+00:00,27116
2023-07-26 00:00:00+00:00,27152
2023-07-27 00:00:00+00:00,27175
2023-07-28 00:00:00+00:00,27200
2023-07-29 00:00:00+00:00,27222
2023-07-30 00:00:00+00:00,27242
2023-07-31 00:00:00+00:00,27271
2023-08-01 00:00:00+00:00,27304
2023-08-02 00:00:00+00:00,27328
2023-08-03 00:00:00+00:00,27364
2023-08-04 00:00:00+00:00,27385
2023-08-05 00:00:00+00:00,27405
2023-08-06 00:00:00+00:00,27424
2023-08-07 00:00:00+00:00,27443
2023-08-08 00:00:00+00:00,27467
2023-08-09 00:00:00+00:00,27486
2023-08-10 00:00:00+00:00,27502
2023-08-11 00:00:00+00:00,27529
2023-08-12 00:00:00+00:00,27544
2023-08-13 00:00:00+00:00,27556
2023-08-14 00:00:00+00:00,27568
2023-08-15 00:00:00+00:00,27590
2023-08-16 00:00:00+00:00,27611
2023-08-17 00:00:00+00:00,27642
2023-08-18 00:00:00+00:00,27657
2023-08-19 00:00:00+00:00,27669
2023-08-20 00:00:00+00:00,27686
2023-08-21 00:00:00+00:00,27702
2023-08-22 00:00:00+00:00,27717
2023-08-23 00:00:00+00:00,27738
2023-08-24 00:00:00+00:00,27751
2023-08-25 00:00:00+00:00,27769
2023-08-26 00:00:00+00:00,27784
2023-08-27 00:00:00+00:00,27795
2023-08-28 00:00:00+00:00,27822
2023-08-29 00:00:00+00:00,27844
2023-08-30 00:00:00+00:00,27864
2023-08-31 00:00:00+00:00,27883
2023-09-01 00:00:00+00:00,27902
2023-09-02 00:00:00+00:00,27918
2023-09-03 00:00:00+00:00,27926
2023-09-04 00:00:00+00:00,27941
2023-09-05 00:00:00+00:00,27956
2023-09-06 00:00:00+00:00,27974
2023-09-07 00:00:00+00:00,27992
2023-09-08 00:00:00+00:00,28010
2023-09-09 00:00:00+00:00,28028
2023-09-10 00:00:00+00:00,28043
2023-09-11 00:00:00+00:00,28058
2023-09-12 00:00:00+00:00,28079
2023-09-13 00:00:00+00:00,28098
2023-09-14 00:00:00+00:00,28117
2023-09-15 00:00:00+00:00,28136
2023-09-16 00:00:00+00:00,28150
2023-09-17 00:00:00+00:00,28170
2023-09-18 00:00:00+00:00,28199
2023-09-19 00:00:00+00:00,28235
2023-09-20 00:00:00+00:00,28274
2023-09-21 00:00:00+00:00,28309
2023-09-22 00:00:00+00:00,28335
2023-09-23 00:00:00+00:00,28369
2023-09-24 00:00:00+00:00,28402
2023-09-25 00:00:00+00:00,28459
2023-09-26 00:00:00+00:00,28530
2023-09-27 00:00:00+00:00,28611
2023-09-28 00:00:00+00:00,28692
2023-09-29 00:00:00+00:00,28787
2023-09-30 00:00:00+00:00,28849
2023-10-01 00:00:00+00:00,28917
2023-10-02 00:00:00+00:00,28985
2023-10-03 00:00:00+00:00,29062
2023-10-04 00:00:00+00:00,29140
2023-10-05 00:00:00+00:00,29203
2023-10-06 00:00:00+00:00,29273
2023-10-07 00:00:00+00:00,29344
2023-10-08 00:00:00+00:00,29415
2023-10-09 00:00:00+00:00,29508
2023-10-10 00:00:00+00:00,29589
2023-10-11 00:00:00+00:00,29682
2023-10-12 00:00:00+00:00,29754
2023-10-13 00:00:00+00:00,29824
2023-10-14 00:00:00+00:00,29883
2023-10-15 00:00:00+00:00,29930
2023-10-16 00:00:00+00:00,30004
2023-10-17 00:00:00+00:00,30055
2023-10-18 00:00:00+00:00,30133
2023-10-19 00:00:00+00:00,30221
2023-10-20 00:00:00+00:00,30292
2023-10-21 00:00:00+00:00,30346
2023-10-22 00:00:00+00:00,30402
2023-10-23 00:00:00+00:00,30500
2023-10-24 00:00:00+00:00,30587
2023-10-25 00:00:00+00:00,30677
2023-10-26 00:00:00+00:00,30779
2023-10-27 00:00:00+00:00,30854
2023-10-28 00:00:00+00:00,30912
2023-10-29 00:00:00+00:00,30955
2023-10-30 00:00:00+00:00,31033
2023-10-31 00:00:00+00:00,31102
2023-11-01 00:00:00+00:00,31176
2023-11-02 00:00:00+00:00,31261
2023-11-03 00:00:00+00:00,31327
2023-11-04 00:00:00+00:00,31381
2023-11-05 00:00:00+00:00,31439
2023-11-06 00:00:00+00:00,31501
2023-11-07 00:00:00+00:00,31583
2023-11-08 00:00:00+00:00,31651
2023-11-09 00:00:00+00:00,31705
2023-11-10 00:00:00+00:00,31755
2023-11-11 00:00:00+00:00,31805
2023-11-12 00:00:00+00:00,31852
2023-11-13 00:00:00+00:00,31911
2023-11-14 00:00:00+00:00,31982
2023-11-15 00:00:00+00:00,32040
2023-11-16 00:00:00+00:00,32094
2023-11-17 00:00:00+00:00,32143
2023-11-18 00:00:00+00:00,32189
2023-11-19 00:00:00+00:00,32241
2023-11-20 00:00:00+00:00,32316
2023-11-21 00:00:00+00:00,32386
2023-11-22 00:00:00+00:00,32444
2023-11-23 00:00:00+00:00,32507
2023-11-24 00:00:00+00:00,32551
2023-11-25 00:00:00+00:00,32585
2023-11-26 00:00:00+00:00,32624
2023-11-27 00:00:00+00:00,32677
2023-11-28 00:00:00+00:00,32725
2023-11-29 00:00:00+00:00,32778
2023-11-30 00:00:00+00:00,32823
2023-12-01 00:00:00+00:00,32867
2023-12-02 00:00:00+00:00,32915
2023-12-03 00:00:00+00:00,32963
2023-12-04 00:00:00+00:00,33006
2023-12-05 00:00:00+00:00,33057
2023-12-06 00:00:00+00:00,33110
2023-12-07 00:00:00+00:00,33162
2023-12-08 00:00:00+00:00,33198
2023-12-09 00:00:00+00:00,33234
2023-12-10 00:00:00+00:00,33281
2023-12-11 00:00:00+00:00,33324
2023-12-12 00:00:00+00:00,33364
2023-12-13 00:00:00+00:00,33419
2023-12-14 00:00:00+00:00,33463
2023-12-15 00:00:00+00:00,33517
2023-12-16 00:00:00+00:00,33549
2023-12-17 00:00:00+00:00,33581
